Plant_Height (cm),Chlorophyll (SPAD),Number of Flowers,Number of Harvested Fruits,Weight of Harvested Fruits (Kg),Fruit Height (mm),Sap pH,Sap K (ppm),Sap Ca (ppm),Sap Na (ppm),Sap NO3 (ppm),Sap Conductivity (mS/cm),Soil pH Horiba,Soil K Horiba (ppm),Soil Ca Horiba (ppm),Soil Na Horiba (ppm),Soil NO3 Horiba (ppm),Soil Conductivity Horiba (mS/cm),Fruit Diameter (mm),7in1_Ph[pH],7in1_Moisture[%RH],7in1_S_Temperature[C],Air_sensor_Temperature[C],Air_sensor_Humidity[%RH],7in1_Conductivity[mS/cm],Pynamometer_Radiation[W/m2],Nitrogen,Phosphorus,Potassium,Year,Month,Day,Treatment_Num
22.0,41.7,15.6,0.0,0.0,0.0,5.57,3520.0,424.0,42.2,1853.0,11.596,7.2,2800.0,87.4,40.0,620.0,1.51,0.0,6.45,15.2,27.9,26.8,61.3,0.537,243.0,1.0,2.0,1.0,2024.0,8.0,6.0,17.0
28.0,37.0,23.2,0.0,0.0,0.0,5.69,3575.0,218.0,56.5,2407.0,12.499,7.3,3400.0,55.1,59.0,786.0,1.95,0.0,6.44,20.1,27.5,26.0,67.8,0.348,282.0,1.0,1.0,0.0,2024.0,8.0,6.0,11.0
30.0,42.1,9.1,0.0,0.0,0.0,5.707000000000001,3580.0,467.0,43.8,1878.0,11.575,7.1,1700.0,84.7,29.0,720.0,1.77,0.0,6.45,16.2,27.5,26.0,64.9,0.293,307.0,0.0,2.0,1.0,2024.0,8.0,6.0,8.0
111.45,51.27,14.2,0.0,0.0,0.0,5.58,3465.0,228.0,52.5,1292.0,11.2075,6.67,175.95,73.5,37.4,267.36,1.3301,0.0,6.39,17.0,27.5,26.0,67.3,0.343,297.0,0.0,2.0,2.0,2024.0,8.0,6.0,9.0
172.1,58.08,11.1,0.0,0.0,0.0,5.6725,3580.0,259.0,60.2,1352.0,10.3785,6.48,68.3,68.5,7.05,29.3,0.5715999999999999,0.0,6.34,15.4,27.5,26.1,63.3,0.271,590.0,1.0,0.0,1.0,2024.0,8.0,6.0,13.0
63.75,47.830000000000005,15.9,0.0,0.0,0.0,5.622,3635.0,236.6,57.4,1475.4,12.386,7.046000000000001,63.6,58.6,30.7,122.2,0.4216999999999999,0.0,6.44,22.5,27.5,26.3,66.7,0.544,329.0,2.0,2.0,1.0,2024.0,8.0,6.0,26.0
69.1,46.28000000000001,14.1,0.0,0.0,0.0,5.905500000000001,3190.0,265.5,41.9,879.0,9.579,6.682,22.7,33.85,6.05,63.3,0.1481,0.0,6.43,22.5,27.9,26.4,62.6,0.201,336.0,1.0,1.0,2.0,2024.0,8.0,6.0,16.0
104.1,50.67,16.2,0.0,0.0,0.0,5.734000000000001,3385.0,342.0,38.3,1620.0,10.333,6.722999999999999,37.3,131.4,10.5,83.5,0.5137,0.0,6.54,17.0,28.3,26.6,65.7,0.383,263.0,1.0,0.0,0.0,2024.0,8.0,6.0,10.0
64.8,49.7,13.5,0.0,0.0,0.0,5.7620000000000005,3465.0,300.5,43.1,1723.0,11.565500000000002,6.9,56.7,70.18333333333335,13.65,65.0,0.484,0.0,6.46,16.8,28.7,26.6,63.2,0.378,510.0,2.0,0.0,1.0,2024.0,8.0,6.0,22.0
65.2,47.22,15.9,0.0,0.0,0.0,5.7895,4015.0,324.1,60.2,1506.8,11.058000000000002,6.939,21.8,46.4,3.2,29.6,0.2611,0.0,6.41,19.4,27.9,26.8,63.1,0.217,651.0,1.0,2.0,0.0,2024.0,8.0,6.0,12.0
42.2,50.62,15.8,0.0,0.0,0.0,5.824,2850.0,562.65,41.6,585.9,11.697,6.811,40.3,124.5,6.9,212.1,0.6894,0.0,6.54,19.1,27.9,27.0,65.2,0.344,633.0,0.0,0.0,0.0,2024.0,8.0,6.0,28.0
91.95,52.11,13.8,0.0,0.0,0.0,5.59,3330.0,134.0,38.25,1758.7,9.933000000000003,6.836,30.8,33.1,5.5,70.7,0.2352999999999999,0.0,6.44,21.8,29.5,27.4,58.9,0.284,672.0,0.0,0.0,0.0,2024.0,8.0,6.0,1.0
89.5,51.38,8.1,0.0,0.0,0.0,5.8100000000000005,3530.0,169.0,46.35,1790.0,11.021,6.514,74.65,68.15,6.6,162.2,0.7404,0.0,6.55,16.1,30.3,27.9,60.0,0.58,725.0,1.0,0.0,2.0,2024.0,8.0,6.0,14.0
89.75,51.54,12.1,0.0,0.0,0.0,5.709999999999999,3345.0,159.9,43.5,1975.0,11.7055,6.05,59.3,85.6,7.4,130.7,0.6043000000000001,0.0,6.6,17.0,31.5,28.5,56.0,0.574,725.0,0.0,0.0,2.0,2024.0,8.0,6.0,5.0
59.65,45.25000000000001,7.0,0.0,0.0,0.0,5.86,3330.0,197.5,42.7,1990.0,11.075,6.43,103.6,120.8,15.0,162.6,0.8549,0.0,6.46,18.6,31.5,28.8,55.9,0.377,664.0,2.0,2.0,2.0,2024.0,8.0,6.0,30.0
77.85,45.15,8.2,0.0,0.0,0.0,5.607,3120.0,192.85,52.4,1112.0,10.0685,6.029999999999999,63.2,76.25,5.6,90.15,0.4385999999999999,0.0,6.53,22.4,31.2,28.9,54.1,0.116,267.0,0.0,2.0,0.0,2024.0,8.0,6.0,3.0
57.95,47.99,8.0,0.0,0.0,0.0,5.399,3440.0,345.7,50.75,1448.0,11.763,6.638,66.0,90.2,13.3,148.8,0.3868999999999999,0.0,6.4,14.0,31.1,28.7,53.4,0.563,256.0,0.0,1.0,2.0,2024.0,8.0,6.0,7.0
46.35,49.53,13.3,0.0,0.0,0.0,5.627999999999999,3170.0,147.2,50.1,1351.0,9.9815,6.248,74.3,109.55,20.1,291.8,1.0738,0.0,6.43,16.4,31.1,28.5,58.7,0.852,239.0,2.0,2.0,0.0,2024.0,8.0,6.0,21.0
69.4,49.510000000000005,5.8,0.0,0.0,0.0,5.851000000000001,3330.0,169.0,45.9,1443.6,10.288,6.274,60.55,69.1,7.8,110.2,0.4006999999999999,0.0,6.48,16.8,29.9,28.2,60.0,0.566,199.0,2.0,0.0,2.0,2024.0,8.0,6.0,23.0
65.75,56.77,11.0,0.0,0.0,0.0,5.772500000000001,3260.0,211.9,36.8,1785.0,9.547999999999998,6.540000000000001,51.6,52.55,14.4,230.9,0.6978,0.0,6.56,24.9,29.1,27.9,57.8,0.548,252.0,2.0,1.0,0.0,2024.0,8.0,6.0,20.0
121.8,54.46,11.5,0.0,0.0,0.0,5.74,3360.0,115.9,46.8,1950.0,10.892,6.528000000000001,21.15,48.7,3.1,38.8,0.2564999999999999,0.0,6.52,20.7,29.1,27.5,61.2,0.368,168.0,1.0,2.0,2.0,2024.0,8.0,6.0,18.0
93.5,50.10000000000001,9.6,0.0,0.0,0.0,5.723999999999999,3475.0,182.1,40.5,2460.0,10.046,6.355,285.3999999999951,85.85,10.5,250.5,0.8799999999999999,0.0,6.52,17.1,28.7,26.9,60.9,0.528,160.0,0.0,1.0,1.0,2024.0,8.0,6.0,6.0
82.5,47.06,15.6,0.0,0.0,0.0,5.585,3500.0,306.0,42.5,1866.0,10.94,6.787000000000001,285.3999999999951,87.4,18.75,158.5,0.8210000000000001,0.0,6.39,19.1,28.7,26.3,61.9,0.362,132.0,1.0,2.0,1.0,2024.0,8.0,6.0,17.0
67.1,52.21,9.2,0.0,0.0,0.0,5.629999999999999,3365.0,257.0,39.8,2080.0,11.772,6.434,74.6,160.0,8.1,231.7,0.9726,0.0,6.45,23.4,27.5,25.8,66.0,0.191,113.0,2.0,1.0,2.0,2024.0,8.0,6.0,25.0
87.35,52.14,14.0,0.0,0.0,0.0,5.8,3380.0,205.4,42.4,2579.6,11.220000000000002,6.856999999999999,28.0,73.3,3.6,95.9,0.3154,0.0,6.43,19.7,27.5,25.5,64.9,0.531,110.0,1.0,1.0,1.0,2024.0,8.0,6.0,29.0
96.5,54.55999999999999,7.4,0.0,0.0,0.0,5.569999999999999,3210.0,168.26666666666668,47.2,1274.0,9.266000000000002,6.261000000000001,152.1,90.9,8.6,301.6,0.6170000000000002,0.0,6.56,16.6,27.1,25.3,66.9,0.827,110.0,0.0,1.0,0.0,2024.0,8.0,6.0,2.0
138.4,56.59,23.7,0.0,0.0,0.0,5.413,3180.0,182.4,36.8,2099.0,9.262000000000002,6.703999999999999,47.3,68.65,3.7,47.8,0.3676,0.0,6.59,16.8,27.1,25.1,67.7,0.998,117.0,2.0,0.0,0.0,2024.0,8.0,6.0,19.0
88.3,50.33,7.4,0.0,0.0,0.0,5.694000000000001,3550.0,467.0,45.9,1748.0,11.04,6.7170000000000005,237.5,86.0,11.4,128.25,1.9676999999999976,0.0,6.51,23.0,26.9,25.0,66.9,0.54,126.0,0.0,2.0,1.0,2024.0,8.0,6.0,8.0
125.15,57.510000000000005,16.4,0.0,0.0,0.0,5.446,3320.0,287.0,50.9,1225.0,11.637999999999998,6.289999999999999,63.35,60.6,4.8,70.35,0.3591,0.0,6.43,17.3,26.7,24.7,69.9,0.551,123.0,1.0,1.0,1.0,2024.0,8.0,6.0,15.0
