Fecha,Tratamiento,Altura planta (cm),Clorofila (SPAD),Numero flores ,Numero frutos cosechados ,Peso frutos cosechados (Kg),Tamanno altura (mm),pH_savia,K_savia (ppm),Ca_savia (ppm),Na_savia (ppm),NO3_savia (ppm),Conductividad_savia (mS/cm),pH_suelo_Horiba,K_suelo_Horiba (ppm),Ca_suelo_Horiba (ppm),Na_suelo_Horiba (ppm),NO3_suelo_Horiba (ppm),Conductividad_suelo_Horiba (mS/cm),Tamanno cintura (mm),7in1_Ph[pH],7in1_Moisture[%RH],7in1_S_Temperature[C],Air_sensor_Temperature[C],Air_sensor_Humidity[%RH],Tratamiento iniciado,7in1_Conductivity[mS/cm],Pynamometer_Radiation[W/m2],N,P,K,Año,Mes,Día,Tratamiento_num
2024-08-14,T7_N0P1K2,,,,,,,,,,,,,,,,,,,,6.54,18.5,26.8,27.2,58.7,Si,0.247,437.0,0,1,2,2024,8,14,7.0
2024-08-14,T3_N0P2K0,,,,,,,,,,,,,,,,,,,,6.56,23.1,26.8,27.4,63.8,Si,1.336,467.0,0,2,0,2024,8,14,3.0
2024-08-14,T23_N2P0K2,,,,,,,,,,,,,,,,,,,,6.48,18.3,27.2,27.2,61.8,Si,0.576,247.0,2,0,2,2024,8,14,23.0
2024-08-14,T21_N2P2K0,,,,,,,,,,,,,,,,,,,,6.47,17.1,27.2,27.1,60.7,Si,0.528,286.0,2,2,0,2024,8,14,21.0
2024-08-14,T5_N0P0K2,,,,,,,,,,,,,,,,,,,,6.41,19.9,27.2,27.0,62.0,Si,0.552,176.0,0,0,2,2024,8,14,5.0
2024-08-14,T30_BIO N2P2K2,,,,,,,,,,,,,,,,,,,,6.51,14.3,27.2,26.7,62.0,Si,0.557,153.0,2,2,2,2024,8,14,30.0
2024-08-14,T20_N2P1K0,,,,,,,,,,,,,,,,,,,,6.43,16.6,26.4,26.4,63.0,Si,0.371,155.0,2,1,0,2024,8,14,20.0
2024-08-14,T18_N1P2K2,,,,,,,,,,,,,,,,,,,,6.54,19.9,26.0,26.1,63.6,Si,0.375,155.0,1,2,2,2024,8,14,18.0
2024-08-14,T29_BIO N1P1K1,,,,,,,,,,,,,,,,,,,,6.45,18.2,25.6,26.0,65.5,Si,0.371,175.0,1,1,1,2024,8,14,29.0
2024-08-14,T25_N2P1K2,,,,,,,,,,,,,,,,,,,,6.43,17.0,25.6,25.9,65.7,Si,0.768,270.0,2,1,2,2024,8,14,25.0
2024-08-14,T19_N2P0K0,,,,,,,,,,,,,,,,,,,,6.5,26.1,25.6,25.8,66.3,Si,1.416,289.0,2,0,0,2024,8,14,19.0
2024-08-14,T2_N0P1K0,,,,,,,,,,,,,,,,,,,,6.6,20.3,26.0,25.8,66.0,Si,0.563,265.0,0,1,0,2024,8,14,2.0
2024-08-14,T6_N0P1K1,,,,,,,,,,,,,,,,,,,,6.47,15.9,26.4,26.1,66.8,Si,0.562,427.0,0,1,1,2024,8,14,6.0
2024-08-14,T17_N1P2K1,,,,,,,,,,,,,,,,,,,,6.5,14.0,26.8,26.3,65.1,Si,0.548,240.0,1,2,1,2024,8,14,17.0
2024-08-14,T11_N1P1K0,,,,,,,,,,,,,,,,,,,,6.4,18.6,26.5,26.5,63.9,Si,0.364,351.0,1,1,0,2024,8,14,11.0
2024-08-14,T8_N0P2K1,,,,,,,,,,,,,,,,,,,,6.52,16.8,27.1,26.8,62.3,Si,0.572,900.0,0,2,1,2024,8,14,8.0
2024-08-14,T9_N0P2K2,31.0,45.7,,,,,,,,,,,6.0,31.0,,7.0,150.0,0.389,,6.56,19.4,27.7,27.0,59.9,Si,0.575,350.0,0,2,2,2024,8,14,9.0
2024-08-14,T13_N1P0K1,38.0,44.9,,,,,,,,,,,6.0,22.0,,3.0,120.0,0.186,,6.22,14.7,27.3,27.0,63.1,Si,0.562,639.0,1,0,1,2024,8,14,13.0
2024-08-14,T26_N2P2K1,43.0,46.6,,,,,,,,,,,6.8,7.0,,3.0,14.0,0.046,,6.53,19.2,27.4,27.1,61.5,Si,0.715,214.0,2,2,1,2024,8,14,26.0
2024-08-14,T16_N1P1K2,36.0,44.3,,,,,,,,,,,6.9,39.0,,6.0,63.0,0.157,,6.43,20.8,27.4,27.4,59.4,Si,0.561,267.0,1,1,2,2024,8,14,16.0
2024-08-14,T10_N1P0K0,27.0,43.6,,,,,,,,,,,6.7,50.0,,15.0,470.0,0.789,,6.6,14.9,27.0,27.3,61.4,Si,0.563,296.0,1,0,0,2024,8,14,10.0
2024-08-14,T22_N2P0K1,34.0,46.1,,,,,,,,,,,6.9,7.0,,3.0,59.0,0.115,,6.6,17.4,27.0,27.2,61.8,Si,0.53,319.0,2,0,1,2024,8,14,22.0
2024-08-14,T12_N1P2K0,48.0,45.7,,,,,,,,,,,7.1,4.0,,2.0,25.0,0.065,,6.51,20.7,27.4,27.3,63.6,Si,0.394,286.0,1,2,0,2024,8,14,12.0
2024-08-14,T28_BIO-N0P0K0,31.0,46.6,,,,,,,,,,,7.0,44.0,,7.0,240.0,0.62,,6.6,16.0,27.4,27.4,59.5,Si,0.582,256.0,0,0,0,2024,8,14,28.0
